,index,Bioenergy,Hard Coal,Lignite,Natural Gas,Oil,Waste
0,120,0.0,2007.8779112691254,22340.462088730874,767.8,0.0,0.0
1,121,0.0,2321.5579112691257,22340.462088730874,767.8,0.0,0.0
2,122,0.0,4061.1179112691316,22340.462088730874,767.8,0.0,0.0
3,123,0.0,6699.137911269127,22340.462088730874,767.8,0.0,0.0
4,124,0.0,9338.17791126913,22340.462088730874,767.8,0.0,0.0
5,125,0.0,14629.537911269128,22340.462088730874,767.8,0.0,0.0
6,126,0.0,8846.517911269126,22340.462088730874,767.8,0.0,0.0
7,127,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
8,128,0.0,11466.78791126913,22340.462088730874,767.8,0.0,0.0
9,129,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
10,130,0.0,14335.427911269127,22340.462088730874,767.8,0.0,0.0
11,131,0.0,14131.347911269126,22340.462088730874,767.8,0.0,0.0
12,132,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
13,133,0.0,19393.167911269124,22340.462088730874,767.8,0.0,0.0
14,134,0.0,8083.747911269123,22340.462088730874,767.8,0.0,0.0
15,135,0.0,18251.01791126912,22340.462088730874,767.8,0.0,0.0
16,136,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
17,137,0.0,10786.577911269123,22340.462088730874,767.8,0.0,0.0
18,138,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
19,139,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
20,140,0.0,9225.937911269124,22340.462088730874,767.8,0.0,0.0
21,141,0.0,18265.97791126912,22340.462088730874,767.8,0.0,0.0
22,142,0.0,15272.617911269126,22340.462088730874,767.8,0.0,0.0
23,143,0.0,4089.4322936607828,22340.462088730874,767.8,0.0,0.0
24,144,0.0,8041.3379112691255,22340.462088730874,767.8,0.0,0.0
25,145,0.0,4089.4322936607828,22340.462088730874,767.8,0.0,0.0
26,146,0.0,4089.4322936607828,22340.462088730874,767.8,0.0,0.0
27,147,0.0,10139.457911269128,22340.462088730874,767.8,0.0,0.0
28,148,0.0,13273.617911269122,22340.462088730874,767.8,0.0,0.0
29,149,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
30,150,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
31,151,0.0,18940.46791126912,22340.462088730874,767.8,0.0,0.0
32,152,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
33,153,0.0,15998.07791126912,22340.462088730874,767.8,0.0,0.0
34,154,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
35,155,0.0,17899.30791126912,22340.462088730874,767.8,0.0,0.0
36,156,0.0,18378.59791126912,22340.462088730874,767.8,0.0,0.0
37,157,0.0,11679.457911269128,22340.462088730874,767.8,0.0,0.0
38,158,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
39,159,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
40,160,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
41,161,0.0,19836.27500294092,22340.462088730874,767.8,0.0,0.0
42,162,0.0,7296.39791126913,22340.462088730874,767.8,0.0,0.0
43,163,0.0,4089.4322936607828,22340.462088730874,767.8,0.0,0.0
44,164,0.0,7895.03791126913,22340.462088730874,767.8,0.0,0.0
45,165,0.0,4089.4322936607828,22340.462088730874,767.8,0.0,0.0
46,166,0.0,0.0,22340.462088730874,767.8,0.0,0.0
47,167,0.0,0.0,22340.462088730874,767.8,0.0,0.0
48,168,0.0,0.0,22340.462088730874,767.8,0.0,0.0
49,169,0.0,0.0,22340.462088730874,767.8,0.0,0.0
50,170,0.0,0.0,22340.462088730874,767.8,0.0,0.0
51,171,0.0,0.0,22340.462088730874,767.8,0.0,0.0
52,172,0.0,0.0,22340.462088730874,767.8,0.0,0.0
53,173,0.0,0.0,22340.462088730874,767.8,0.0,0.0
54,174,0.0,0.0,22340.462088730874,767.8,0.0,0.0
55,175,0.0,0.0,22340.462088730874,767.8,0.0,0.0
56,176,0.0,0.0,22340.462088730874,767.8,0.0,0.0
57,177,0.0,0.0,22340.462088730874,767.8,0.0,0.0
58,178,0.0,0.0,22340.462088730874,767.8,0.0,0.0
59,179,0.0,0.0,22340.462088730874,767.8,0.0,0.0
60,180,0.0,0.0,22340.462088730874,767.8,0.0,0.0
61,181,0.0,0.0,22340.462088730874,767.8,0.0,0.0
62,182,0.0,0.0,22340.462088730874,767.8,0.0,0.0
63,183,0.0,0.0,22340.462088730874,767.8,0.0,0.0
64,184,0.0,0.0,22340.462088730874,767.8,0.0,0.0
65,185,0.0,0.0,22340.462088730874,767.8,0.0,0.0
66,186,0.0,0.0,22340.462088730874,767.8,0.0,0.0
67,187,0.0,0.0,22340.462088730874,767.8,0.0,0.0
68,188,0.0,0.0,22340.462088730874,767.8,0.0,0.0
69,189,0.0,0.0,22340.462088730874,767.8,0.0,0.0
70,190,0.0,0.0,22340.462088730874,767.8,0.0,0.0
71,191,0.0,0.0,22340.462088730874,767.8,0.0,0.0
72,192,0.0,0.0,22340.462088730874,767.8,0.0,0.0
73,193,0.0,0.0,22340.462088730874,767.8,0.0,0.0
74,194,0.0,0.0,22340.462088730874,767.8,0.0,0.0
75,195,0.0,0.0,22340.462088730874,767.8,0.0,0.0
76,196,0.0,0.0,22340.462088730874,767.8,0.0,0.0
77,197,0.0,0.0,22340.462088730874,767.8,0.0,0.0
78,198,0.0,143.53791126912893,22340.462088730874,767.8,0.0,0.0
79,199,0.0,4443.947911269124,22340.462088730874,767.8,0.0,0.0
80,200,0.0,1505.9279112691283,22340.462088730874,767.8,0.0,0.0
81,201,0.0,0.0,22340.462088730874,767.8,0.0,0.0
82,202,0.0,0.0,22340.462088730874,767.8,0.0,0.0
83,203,0.0,0.0,22340.462088730874,767.8,0.0,0.0
84,204,0.0,0.0,22340.462088730874,767.8,0.0,0.0
85,205,0.0,4089.4322936607828,22340.462088730874,767.8,0.0,0.0
86,206,0.0,10163.257911269131,22340.462088730874,767.8,0.0,0.0
87,207,0.0,11797.577911269123,22340.462088730874,767.8,0.0,0.0
88,208,0.0,11866.837911269125,22340.462088730874,767.8,0.0,0.0
89,209,0.0,13169.417911269125,22340.462088730874,767.8,0.0,0.0
90,210,0.0,4089.4322936607828,22340.462088730874,767.8,0.0,0.0
91,211,0.0,4089.4322936607828,22340.462088730874,767.8,0.0,0.0
92,212,0.0,3121.3579112691286,22340.462088730874,767.8,0.0,0.0
93,213,0.0,1221.3579112691214,22340.462088730874,767.8,0.0,0.0
94,214,0.0,537.0379112691289,22340.462088730874,767.8,0.0,0.0
95,215,0.0,763.497911269128,22340.462088730874,767.8,0.0,0.0
96,216,0.0,1480.3779112691254,22340.462088730874,767.8,0.0,0.0
97,217,0.0,3200.697911269125,22340.462088730874,767.8,0.0,0.0
98,218,0.0,4795.977911269123,22340.462088730874,767.8,0.0,0.0
99,219,0.0,5822.417911269125,22340.462088730874,767.8,0.0,0.0
100,220,0.0,6599.017911269124,22340.462088730874,767.8,0.0,0.0
101,221,0.0,7721.457911269128,22340.462088730874,767.8,0.0,0.0
102,222,0.0,11517.877911269126,22340.462088730874,767.8,0.0,0.0
103,223,0.0,17385.737911269123,22340.462088730874,767.8,0.0,0.0
104,224,0.0,14374.247911269127,22340.462088730874,767.8,0.0,0.0
105,225,0.0,4089.4322936607828,22340.462088730874,767.8,0.0,0.0
106,226,0.0,11001.137911269128,22340.462088730874,767.8,0.0,0.0
107,227,0.0,9102.78791126913,22340.462088730874,767.8,0.0,0.0
108,228,0.0,8957.28791126913,22340.462088730874,767.8,0.0,0.0
109,229,0.0,14308.347911269126,22340.462088730874,767.8,0.0,0.0
